Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00012,0.08957
0.10000,-0.38708,-0.10859
0.20000,-1.33988,-4.05136
0.30000,-2.38542,-12.22987
0.40000,-3.33356,-21.80657
0.50000,-4.22353,-31.98498
0.60000,-5.08928,-42.68750
0.70000,-5.94613,-54.02600
0.80000,-6.79819,-66.09565
0.90000,-7.64983,-78.84309
0.99400,-8.44891,-91.44489
1.08400,-9.21386,-103.99214
1.17000,-9.94485,-116.53714
1.25200,-10.64169,-129.07388
1.33200,-11.32240,-141.65477
1.41000,-11.98492,-154.48649
1.48600,-12.63125,-167.26667
1.56000,-13.26029,-180.06716
1.63200,-13.87212,-192.74086
1.70200,-14.46685,-205.49122
1.77000,-15.04519,-218.09431
1.83600,-15.60596,-230.68333
1.90200,-16.16708,-243.50014
1.96600,-16.71123,-256.14863
2.02800,-17.23845,-268.71966
2.09000,-17.76567,-281.52442
2.15000,-18.27508,-294.12815
2.21000,-18.78479,-306.81241
2.27000,-19.29521,-319.71570
2.32800,-19.78817,-332.28397
2.38600,-20.28132,-344.79789
2.44400,-20.77446,-357.50709
2.50200,-21.26718,-370.13050
2.56000,-21.75985,-382.84697
2.61800,-22.25300,-395.52007
2.67600,-22.74602,-408.25613
2.73600,-23.25650,-421.13613
2.79600,-23.76651,-434.06364
2.85600,-24.27615,-446.87916
2.91600,-24.78592,-459.46315
2.97800,-25.31302,-472.18818
2.99000,-25.41478,-474.62925
2.99200,-25.43182,-475.03583
3.09200,-25.84090,-485.91450
3.16000,-25.59325,-472.98361
3.19200,-25.34262,-460.38393
3.22000,-25.08516,-447.06654
3.24600,-24.83369,-434.31077
3.27400,-24.55256,-421.15986
3.30200,-24.26354,-408.52856
3.33200,-23.94731,-395.47015
3.36200,-23.62558,-382.88154
3.39400,-23.27833,-369.92360
3.42800,-22.90476,-356.71495
3.46200,-22.52809,-343.87317
3.49800,-22.12642,-330.91549
3.53400,-21.72260,-318.26433
3.57200,-21.29481,-305.45253
3.61200,-20.84340,-292.59918
3.65200,-20.39007,-280.07653
3.69400,-19.91367,-267.44008
3.73800,-19.41335,-254.75467
3.78400,-18.90347,-242.03777
3.83600,-18.37684,-229.19031
3.89600,-17.80806,-216.29322
3.96000,-17.23026,-203.69111
4.03000,-16.61401,-190.97680
4.10400,-15.97426,-178.30914
4.18200,-15.30551,-165.51211
4.26400,-14.60532,-152.73851
4.35000,-13.87332,-139.94720
4.43800,-13.12451,-127.43814
4.53200,-12.32537,-114.72050
4.63000,-11.49244,-102.03592
4.73000,-10.64187,-89.69917
4.83000,-9.79220,-78.14335
4.93000,-8.94254,-67.23870
5.03000,-8.09245,-56.81858
5.13000,-7.24206,-47.12695
5.23000,-6.39174,-37.92289
5.33000,-5.54219,-29.37477
5.43000,-4.69186,-21.50838
5.53000,-3.84177,-14.28276
5.63000,-2.99211,-7.99732
5.73000,-2.14178,-2.98362
5.83000,-1.29205,-0.12563
5.93000,-0.44190,0.24670
5.98200,0.00006,0.24423
5.98400,0.01704,0.25021
6.08400,0.41757,0.23148
6.18400,-0.12747,0.23407
6.28400,-1.12500,0.16621
6.38400,-2.21466,-4.26632
6.48400,-3.34325,-13.55032
6.58400,-4.49234,-25.38156
6.67800,-5.58021,-38.06130
6.77000,-6.54187,-50.74241
6.86800,-7.45605,-63.46746
6.96600,-8.32366,-76.02365
7.06200,-9.15282,-88.69065
7.15400,-9.94060,-101.27818
7.24200,-10.69126,-113.93795
7.32600,-11.40634,-126.49737
7.40600,-12.08657,-139.00542
