Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00006,-0.11767
0.10000,-0.39066,-0.15131
0.20000,-1.33504,-3.25369
0.30000,-2.38207,-12.16738
0.40000,-3.33554,-23.25309
0.50000,-4.22514,-34.77348
0.60000,-5.09036,-46.75958
0.70000,-5.94607,-59.28705
0.79600,-6.76506,-71.83301
0.89000,-7.56415,-84.54631
0.97800,-8.31259,-97.09043
1.06400,-9.04352,-109.82785
1.14600,-9.74120,-122.43343
1.22600,-10.42077,-135.06217
1.30400,-11.08408,-147.79260
1.38000,-11.72992,-160.54207
1.45400,-12.35897,-173.32943
1.52400,-12.95387,-185.88794
1.59200,-13.53204,-198.45566
1.65800,-14.09280,-211.13107
1.72200,-14.63713,-223.70970
1.78400,-15.16417,-236.26586
1.84600,-15.69104,-249.19065
1.90600,-16.20062,-262.10545
1.96400,-16.69377,-274.81031
2.02200,-17.18685,-287.75951
2.07800,-17.66260,-300.45714
2.13400,-18.13936,-313.38889
2.18800,-18.59782,-325.98887
2.24200,-19.05683,-338.67974
2.29600,-19.51613,-351.47581
2.35000,-19.97489,-364.16907
2.40400,-20.43396,-376.87857
2.45800,-20.89272,-389.67893
2.51200,-21.35191,-402.35799
2.56600,-21.81133,-415.09248
2.62000,-22.27045,-427.64388
2.67600,-22.74566,-440.60320
2.73200,-23.22176,-453.38891
2.78800,-23.69787,-465.91364
2.84600,-24.19149,-478.74372
2.90600,-24.70167,-491.64623
2.96600,-25.21090,-504.21480
2.99000,-25.41508,-509.18799
2.99200,-25.43206,-509.60351
3.09200,-25.83899,-519.29466
3.15400,-25.62859,-506.65263
3.18600,-25.39290,-493.51420
3.21200,-25.15996,-480.31226
3.23600,-24.93354,-467.63770
3.26200,-24.67955,-454.32467
3.28800,-24.41779,-441.50289
3.31600,-24.13056,-428.29435
3.34400,-23.83646,-415.53754
3.37400,-23.51718,-402.30740
3.40400,-23.19450,-389.47746
3.43600,-22.84748,-376.23718
3.46800,-22.49658,-363.40374
3.50200,-22.12205,-350.27433
3.53600,-21.74640,-337.55548
3.57200,-21.34557,-324.48780
3.60800,-20.94420,-311.93905
3.64600,-20.51928,-299.06651
3.68600,-20.07074,-286.07165
3.72600,-19.62166,-273.56386
3.76800,-19.14962,-260.85166
3.81200,-18.66216,-248.15219
3.86000,-18.17332,-235.48232
3.91600,-17.64065,-222.65695
3.97800,-17.07857,-209.76473
4.04400,-16.49652,-197.07493
4.11400,-15.89044,-184.41152
4.18800,-15.25541,-171.66361
4.26600,-14.58918,-159.00884
4.34800,-13.89042,-146.27784
4.43400,-13.15823,-133.56849
4.52400,-12.39323,-121.00435
4.61800,-11.59402,-108.37544
4.71600,-10.76074,-95.82663
4.81600,-9.91143,-83.56960
4.91600,-9.06104,-71.92186
5.01600,-8.21101,-60.96130
5.11600,-7.36086,-50.50925
5.21600,-6.51108,-40.63077
5.31600,-5.66141,-31.33479
5.41600,-4.81060,-22.58212
5.51600,-3.96117,-14.73010
5.61600,-3.11061,-7.89351
5.71600,-2.26094,-2.61775
5.81600,-1.41109,-0.13065
5.91600,-0.56095,-0.01326
5.98200,0.00036,-0.02686
5.98400,0.01728,-0.02621
6.08400,0.41954,-0.07031
6.18400,-0.12161,-0.03038
6.28400,-1.10820,0.00050
6.38400,-2.18572,-2.85344
6.48400,-3.30295,-12.40771
6.58200,-4.41677,-24.91450
6.66800,-5.40366,-37.53617
6.74800,-6.29619,-50.17875
6.83400,-7.13665,-62.80012
6.92400,-7.95248,-75.34189
7.01400,-8.73859,-87.90131
7.10200,-9.49535,-100.53238
7.18600,-10.21360,-113.04632
7.26800,-10.91254,-125.72708
7.34800,-11.59306,-138.40201
7.42600,-12.25667,-151.15042
7.50000,-12.88565,-163.69639
7.57200,-13.49826,-176.33412
7.64200,-14.09274,-189.02339
7.71000,-14.67103,-201.85687
7.77600,-15.23221,-214.66453
7.84000,-15.77636,-227.52810
7.90200,-16.30328,-240.39634
7.96200,-16.81257,-253.17436
8.02000,-17.30577,-265.82142
8.07600,-17.78217,-278.39974
8.13200,-18.25834,-291.19777
8.18600,-18.71740,-303.74048
8.24000,-19.17557,-316.39013
8.29400,-19.63469,-329.27051
8.34800,-20.09388,-342.22342
8.40000,-20.53632,-354.74226
8.45200,-20.97804,-367.41897
8.50400,-21.42019,-380.25536
8.55600,-21.86215,-393.10858
8.60600,-22.28737,-405.61259
8.65800,-22.72868,-418.50772
8.70800,-23.15420,-431.08389
8.75800,-23.57901,-443.60962
8.80800,-24.00417,-456.17003
8.85800,-24.42898,-468.68667
8.90800,-24.85378,-481.19426
8.96000,-25.29634,-494.05180
8.97400,-25.41508,-497.51822
8.97600,-25.43206,-498.01491
9.03800,-25.79809,-510.66488
9.13800,-25.62949,-500.01957
9.17000,-25.39392,-487.17208
9.19600,-25.16110,-474.30299
9.22000,-24.93461,-461.79932
9.24600,-24.68045,-448.60929
