Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.07896
0.10000,-0.36543,-0.35155
0.20000,-1.32452,-4.02092
0.30000,-2.37765,-11.65088
0.40000,-3.32603,-20.39771
0.50000,-4.21857,-29.82685
0.60000,-5.08647,-39.81248
0.70000,-5.94421,-50.24355
0.80000,-6.79765,-61.27828
0.90000,-7.64911,-72.93425
1.00000,-8.49926,-85.26609
1.09800,-9.33296,-97.94900
1.19000,-10.11495,-110.48312
1.27800,-10.86268,-123.02825
1.36200,-11.57704,-135.58140
1.44400,-12.27413,-148.31964
1.52200,-12.93731,-160.84187
1.59800,-13.58310,-173.40900
1.67200,-14.21214,-185.95364
1.74400,-14.82403,-198.54454
1.81400,-15.41894,-211.04902
1.88400,-16.01384,-223.65037
1.95400,-16.60904,-236.46234
2.02200,-17.18691,-249.10929
2.09000,-17.76490,-261.82521
2.15800,-18.34312,-274.65967
2.22600,-18.92110,-287.51677
2.29400,-19.49849,-300.39448
2.36000,-20.06039,-312.91831
2.42800,-20.63808,-325.78852
2.49400,-21.19927,-338.29860
2.56000,-21.76051,-350.84270
2.62800,-22.33814,-363.71879
2.69400,-22.89920,-376.30755
2.76200,-23.47718,-389.12479
2.83000,-24.05499,-401.99861
2.89800,-24.63274,-414.73661
2.96600,-25.21096,-427.37626
2.99000,-25.41496,-431.79929
2.99200,-25.43212,-432.16713
3.09200,-25.86859,-441.59509
3.16400,-25.65047,-429.00279
3.20000,-25.38573,-415.87073
3.22800,-25.13108,-403.31583
3.25600,-24.85874,-390.19331
3.28400,-24.57199,-377.41106
3.31400,-24.25481,-364.25576
3.34400,-23.92776,-351.61600
3.37600,-23.57243,-338.65556
3.41000,-23.18595,-325.43108
3.44400,-22.79433,-312.72158
3.48000,-22.37491,-299.85908
3.51800,-21.92702,-286.92035
3.55800,-21.45224,-273.85168
3.59800,-20.97392,-261.32869
3.64000,-20.46918,-248.63083
3.68400,-19.93878,-236.06062
3.73000,-19.40378,-223.52241
3.78400,-18.84111,-210.82258
3.84800,-18.22653,-198.02077
3.91800,-17.59049,-185.49692
3.99600,-16.90411,-172.71493
4.08000,-16.17731,-159.94566
4.16800,-15.42408,-147.23944
4.26000,-14.63904,-134.66693
4.35800,-13.80444,-122.02295
4.45800,-12.95429,-109.76414
4.55800,-12.10391,-98.30005
4.65800,-11.25400,-87.18531
4.75800,-10.40397,-76.77243
4.85800,-9.55412,-66.93651
4.95800,-8.70410,-57.53593
5.05800,-7.85383,-48.50176
5.15800,-7.00410,-39.93283
5.25800,-6.15443,-31.78029
5.35800,-5.30423,-24.26208
5.45800,-4.45468,-17.16591
5.55800,-3.60399,-11.01025
5.65800,-2.75390,-5.60645
5.75800,-1.90358,-1.67397
5.85800,-1.05397,-0.03758
5.95800,-0.20412,0.04411
5.98400,0.01716,0.04278
5.98600,0.03414,0.04176
