Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.04472
0.10000,-0.37081,-0.41666
0.20000,-1.32667,-4.41791
0.30000,-2.38064,-13.27504
0.40000,-3.32890,-23.36468
0.50000,-4.22024,-33.97694
0.60000,-5.08785,-45.01578
0.70000,-5.94475,-56.74489
0.80000,-6.79747,-69.21958
0.89800,-7.63201,-81.87895
0.99200,-8.43163,-94.50573
1.08200,-9.19646,-107.07054
1.17000,-9.94503,-119.72260
1.25600,-10.67577,-132.41900
1.34000,-11.39002,-145.15217
1.42000,-12.07030,-157.78501
1.49800,-12.73355,-170.32210
1.57400,-13.37964,-183.03642
1.64800,-14.00820,-195.67130
1.72000,-14.62033,-208.33423
1.79000,-15.21493,-220.96327
1.85800,-15.79298,-233.50481
1.92600,-16.37090,-246.25590
1.99200,-16.93221,-258.99976
2.05800,-17.49345,-271.85261
2.12200,-18.03712,-284.48449
2.18600,-18.58072,-297.26356
2.25000,-19.12481,-310.02196
2.31400,-19.66871,-322.90976
2.37800,-20.21304,-335.70334
2.44200,-20.75694,-348.32891
2.50800,-21.31807,-361.16350
2.57400,-21.87913,-373.83024
2.64200,-22.45682,-386.69910
2.71200,-23.05238,-399.55083
2.78400,-23.66409,-412.35514
2.85800,-24.29301,-424.95146
2.93600,-24.95590,-437.68387
2.99000,-25.41520,-446.16107
2.99200,-25.43218,-446.47403
3.09200,-25.86069,-453.48864
3.16400,-25.62709,-440.86225
3.20000,-25.35475,-428.25751
3.23000,-25.07919,-415.58091
3.26000,-24.78502,-402.50447
3.29000,-24.47740,-389.82973
3.32200,-24.13923,-376.84847
3.35400,-23.79090,-364.30884
3.38800,-23.41345,-351.44333
3.42400,-23.00784,-338.23222
3.46000,-22.59577,-325.42791
3.49800,-22.15649,-312.44591
3.53600,-21.71411,-299.87164
3.57600,-21.24435,-287.04355
3.61800,-20.74887,-274.08246
3.66000,-20.25100,-261.48507
3.70400,-19.72796,-248.82438
3.75200,-19.18454,-235.85998
3.80600,-18.63483,-223.35710
3.86800,-18.04656,-210.85482
3.93800,-17.41477,-198.10010
4.01200,-16.76539,-185.57394
4.09200,-16.07542,-172.89886
4.17600,-15.35580,-160.24794
4.26400,-14.60544,-147.64086
4.35600,-13.82190,-135.04042
4.45400,-12.98831,-122.33496
4.55400,-12.13811,-109.89684
4.65400,-11.28826,-98.04911
4.75400,-10.43829,-86.67479
4.85400,-9.58790,-75.78708
4.95400,-8.73824,-65.40940
5.05400,-7.88839,-55.49692
5.15400,-7.03806,-46.03947
5.25400,-6.18821,-37.25444
5.35400,-5.33801,-28.87749
5.45400,-4.48810,-21.24242
5.55400,-3.63765,-14.16902
5.65400,-2.78786,-7.89432
5.75400,-1.93814,-2.86962
5.85400,-1.08781,-0.06328
5.95400,-0.23826,0.18691
5.98200,0.00042,0.16256
5.98400,0.01734,0.16424
6.08400,0.44274,0.07292
6.18400,-0.03713,0.14844
6.28400,-1.03286,0.10583
6.38400,-2.15164,-4.72474
6.48400,-3.32741,-14.83941
6.58200,-4.50867,-27.56921
6.67000,-5.55684,-40.29477
6.76200,-6.49428,-52.97890
6.85800,-7.37976,-65.50110
6.95600,-8.24133,-78.02582
7.05400,-9.08681,-90.69179
7.14800,-9.89056,-103.29509
7.24000,-10.67428,-116.02208
7.33000,-11.44048,-128.73136
7.41600,-12.17207,-141.35630
7.50000,-12.88571,-154.13844
7.58000,-13.56612,-166.69989
7.65800,-14.22906,-179.31202
7.73400,-14.87479,-192.10758
7.80800,-15.50384,-204.79161
7.88000,-16.11584,-217.62550
7.95000,-16.71063,-230.31665
