Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.08446
0.10000,-0.38104,-1.24607
0.20000,-1.34538,-6.76931
0.30000,-2.39164,-15.23143
0.40000,-3.33356,-24.50072
0.50000,-4.22299,-34.06893
0.60000,-5.08839,-44.03487
0.70000,-5.94613,-54.46517
0.80000,-6.79801,-65.64205
0.90000,-7.64905,-77.36795
1.00000,-8.49986,-89.65950
1.09800,-9.33272,-102.31523
1.19000,-10.11519,-114.93465
1.27800,-10.86286,-127.55872
1.36200,-11.57692,-140.13646
1.44200,-12.25685,-152.67571
1.52000,-12.91967,-165.29495
1.59400,-13.54854,-177.82355
1.66600,-14.16072,-190.35637
1.73600,-14.75557,-203.03708
1.80400,-15.33397,-215.61865
1.87000,-15.89486,-228.13149
1.93600,-16.45586,-240.75404
2.00200,-17.01687,-253.41587
2.06800,-17.57775,-266.13858
2.13400,-18.13906,-278.91275
2.20000,-18.69988,-291.71987
2.26600,-19.26089,-304.60844
2.33000,-19.80503,-317.37648
2.39400,-20.34882,-330.26893
2.45600,-20.87634,-342.86972
2.51800,-21.40321,-355.46128
2.58000,-21.92959,-368.05533
2.64200,-22.45688,-380.56441
2.70600,-23.00090,-393.45190
2.77000,-23.54498,-406.19534
2.83400,-24.08889,-418.72341
2.90000,-24.65037,-431.54974
2.96600,-25.21114,-444.21632
2.99000,-25.41496,-448.79798
2.99200,-25.43182,-449.17267
3.09200,-25.85101,-459.43793
3.16600,-25.58243,-446.43439
3.20000,-25.30884,-433.65970
3.23000,-25.02651,-420.34447
3.25800,-24.74861,-407.67346
3.28800,-24.43842,-394.63270
3.31800,-24.11939,-382.11334
3.35000,-23.77045,-369.14714
3.38400,-23.39426,-356.00916
3.41800,-23.01172,-343.26468
3.45400,-22.60187,-330.20519
3.49000,-22.18950,-317.61207
3.52800,-21.75017,-304.77919
3.56800,-21.28542,-291.75913
3.60800,-20.81882,-279.22975
3.65000,-20.32634,-266.41104
3.69400,-19.81083,-253.58254
3.74000,-19.28785,-240.95129
3.79200,-18.75471,-228.31054
3.85200,-18.18354,-215.75749
3.91800,-17.58660,-203.23213
3.99000,-16.95361,-190.56749
4.06600,-16.29682,-177.93767
4.14600,-15.61116,-165.15255
4.22800,-14.91120,-152.64773
4.31400,-14.17968,-140.13721
4.40600,-13.39638,-127.43982
4.50200,-12.58025,-114.92783
4.60200,-11.73010,-102.74072
4.70200,-10.88008,-91.18346
4.80200,-10.02963,-80.17980
4.90200,-9.18008,-69.82175
5.00200,-8.32993,-59.99555
5.10200,-7.47997,-50.65581
5.20200,-6.63066,-41.96321
5.30200,-5.78015,-33.66924
5.40200,-4.93012,-25.97313
5.50200,-4.07974,-18.77172
5.60200,-3.23007,-12.26841
5.70200,-2.37962,-6.55249
5.80200,-1.53001,-2.05359
5.90200,-0.68040,0.57401
5.98200,0.00024,0.77409
5.98400,0.01728,0.77141
6.08400,0.43030,0.73482
6.18400,-0.08335,0.72089
6.28400,-1.08984,-0.39778
6.38400,-2.20486,-7.16110
6.48400,-3.36830,-16.75585
6.58400,-4.55650,-28.55467
6.68000,-5.66739,-41.20738
6.78000,-6.66228,-53.56353
6.88000,-7.57270,-65.47766
6.98000,-8.44862,-77.53248
7.08000,-9.30869,-89.95758
7.17800,-10.14652,-102.70855
7.27000,-10.92964,-115.30144
7.35800,-11.67809,-128.01296
7.44200,-12.39251,-140.77087
7.52200,-13.07327,-153.36096
7.59800,-13.71924,-165.90234
7.67200,-14.34805,-178.46024
7.74400,-14.96059,-191.04822
7.81400,-15.55472,-203.58624
7.88200,-16.13318,-216.09439
7.95000,-16.71140,-228.79642
8.01800,-17.28939,-241.66103
8.08400,-17.85022,-254.20314
8.15000,-18.41098,-266.96442
8.21400,-18.95471,-279.54187
8.27800,-19.49873,-292.33919
8.34000,-20.02560,-304.92704
8.40200,-20.55312,-317.78593
8.46200,-21.06324,-330.41075
8.52200,-21.57313,-343.17039
8.58200,-22.08325,-356.08914
8.64000,-22.57574,-368.61409
8.69800,-23.06882,-381.21376
8.75600,-23.56197,-393.87379
8.81400,-24.05505,-406.44452
8.87200,-24.54843,-419.13178
8.93000,-25.04164,-431.78320
8.97400,-25.41490,-441.39516
8.97600,-25.43188,-441.83679
9.05400,-25.83911,-454.40778
9.15200,-25.56862,-441.67142
9.18600,-25.29048,-428.91912
