Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.06230
0.10000,-0.37458,-0.46341
0.20000,-1.34269,-4.11139
0.30000,-2.38716,-12.52662
0.40000,-3.32926,-22.36597
0.50000,-4.22060,-32.71088
0.60000,-5.08743,-43.58429
0.70000,-5.94535,-55.09358
0.80000,-6.79777,-67.26818
0.89800,-7.63213,-79.79708
0.99200,-8.43175,-92.42756
1.08200,-9.19646,-105.21821
1.16800,-9.92769,-117.98032
1.25000,-10.62513,-130.71224
1.32800,-11.28826,-143.39706
1.40200,-11.91760,-156.24077
1.47200,-12.51233,-168.86780
1.54000,-13.09037,-181.64311
1.60600,-13.65102,-194.48109
1.67000,-14.19468,-207.15533
1.73200,-14.72191,-219.67860
1.79400,-15.24871,-232.52711
1.85400,-15.75926,-245.10734
1.91400,-16.26914,-257.74522
1.97400,-16.77825,-270.50588
2.03400,-17.28915,-283.20467
2.09400,-17.79885,-295.82759
2.15400,-18.30880,-308.48235
2.21600,-18.83608,-321.34529
2.27800,-19.36301,-334.01895
2.34000,-19.89006,-346.70860
2.40200,-20.41692,-359.45151
2.46400,-20.94444,-372.30492
2.52400,-21.45457,-384.96833
2.58400,-21.96385,-397.78210
2.64400,-22.47398,-410.66777
2.70400,-22.98380,-423.48102
2.76400,-23.49386,-436.17647
2.82400,-24.00387,-448.71837
2.88600,-24.53133,-461.36878
2.95000,-25.07572,-474.26261
2.99000,-25.41502,-482.16589
2.99200,-25.43200,-482.56338
3.09200,-25.86033,-492.92158
3.16200,-25.63702,-479.82249
3.19400,-25.40085,-467.18042
3.22000,-25.16438,-454.63599
3.24600,-24.91118,-441.13897
3.27200,-24.64643,-428.02799
3.29800,-24.37235,-415.47012
3.32600,-24.06952,-402.32841
3.35400,-23.75951,-389.69375
3.38400,-23.42302,-376.64011
3.41400,-23.08018,-364.07378
3.44600,-22.71015,-351.06625
3.48000,-22.31428,-337.81331
3.51400,-21.91477,-325.04190
3.55000,-21.48853,-311.98308
3.58800,-21.03730,-298.82101
3.62600,-20.58307,-286.25382
3.66600,-20.10404,-273.55216
3.70800,-19.61299,-260.81134
3.75600,-19.10412,-247.88557
3.81200,-18.55561,-235.04697
3.87400,-17.98115,-222.27174
3.94000,-17.39223,-209.73615
4.01000,-16.78094,-197.07179
4.08400,-16.14299,-184.24125
4.16000,-15.49236,-171.65575
4.23800,-14.82612,-159.13539
4.32000,-14.12802,-146.46824
4.40600,-13.39643,-133.85217
4.49600,-12.63149,-121.28199
4.59200,-11.81542,-108.67072
4.69200,-10.96533,-96.24179
4.79200,-10.11507,-84.56641
4.89200,-9.26516,-73.47002
4.99200,-8.41513,-62.92521
5.09200,-7.56457,-52.95249
5.19200,-6.71520,-43.49377
5.29200,-5.86475,-34.55046
5.39200,-5.01490,-26.14655
5.49200,-4.16500,-18.25175
5.59200,-3.31491,-11.26752
5.69200,-2.46488,-5.30544
5.79200,-1.61468,-1.24897
5.89200,-0.76507,0.07997
5.98200,0.00030,0.09088
5.98400,0.01746,0.09002
6.08400,0.43951,0.06022
6.18400,-0.04951,0.07972
6.28400,-1.05756,0.00371
6.38400,-2.18883,-4.47149
6.48400,-3.37595,-14.35900
6.58200,-4.56648,-26.95560
6.67000,-5.58894,-39.53507
6.76600,-6.54360,-52.23531
6.86600,-7.45438,-64.93692
6.96400,-8.31271,-77.48370
7.05800,-9.12143,-90.01565
7.15000,-9.90730,-102.77172
7.23600,-10.64050,-115.29749
7.31800,-11.33836,-127.80397
7.39800,-12.01859,-140.54035
7.47400,-12.66485,-153.37740
7.54600,-13.27686,-166.09756
7.61600,-13.87236,-178.95138
7.68400,-14.44987,-191.80344
7.75000,-15.01117,-204.61919
7.81400,-15.55466,-217.39019
7.87600,-16.08218,-230.00306
7.93800,-16.60857,-242.84560
8.00000,-17.13537,-255.71702
8.06000,-17.64562,-268.36095
8.12000,-18.15634,-280.99122
8.18000,-18.66622,-293.55867
8.24200,-19.19321,-306.38050
8.30200,-19.70339,-318.88090
8.36200,-20.21262,-331.39311
8.42200,-20.72274,-344.14433
8.48000,-21.21601,-356.68861
8.53800,-21.70891,-369.47150
8.59400,-22.18531,-381.99656
8.65000,-22.66154,-394.92186
8.70400,-23.11970,-407.43556
8.75800,-23.57895,-419.99131
8.81200,-24.03783,-432.51228
8.86600,-24.49737,-445.21708
8.92000,-24.95584,-457.85297
8.97400,-25.41502,-470.53538
8.97600,-25.43200,-471.00518
9.04200,-25.81812,-483.64732
9.14200,-25.66094,-474.08994
9.17600,-25.41831,-461.38626
9.20400,-25.16492,-448.18301
9.23000,-24.91165,-434.97957
9.25600,-24.64685,-422.06012
9.28400,-24.35149,-408.69225
9.31200,-24.04776,-395.83638
9.34200,-23.71556,-382.52246
9.37200,-23.37704,-369.75693
9.40400,-23.01071,-356.55573
