Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00006,-0.17509
0.10000,-0.38283,-0.59669
0.20000,-1.33396,-4.34157
0.30000,-2.38142,-13.62964
0.40000,-3.32914,-25.20317
0.50000,-4.22078,-37.41659
0.60000,-5.08827,-50.05629
0.69600,-5.91097,-62.74094
0.78800,-6.69565,-75.47443
0.87600,-7.44541,-88.07512
0.96000,-8.15941,-100.57736
1.04200,-8.85638,-113.13335
1.12200,-9.53666,-125.75610
1.20000,-10.19985,-138.51579
1.27400,-10.82872,-151.03483
1.34600,-11.44078,-163.59644
1.41600,-12.03593,-176.12461
1.48400,-12.61397,-188.67666
1.55000,-13.17462,-201.35615
1.61400,-13.71894,-214.02620
1.67600,-14.24575,-226.54748
1.73800,-14.77315,-239.23427
1.80000,-15.29995,-251.90771
1.86200,-15.82730,-264.65671
1.92400,-16.35392,-277.39074
1.98600,-16.88091,-290.16143
2.04800,-17.40801,-302.84196
2.11000,-17.93464,-315.53645
2.17200,-18.46204,-328.14808
2.23400,-18.98897,-340.73558
2.29600,-19.51601,-353.28798
2.35800,-20.04288,-366.16620
2.41800,-20.55348,-378.94677
2.47600,-21.04650,-391.61336
2.53400,-21.53851,-404.36167
2.59200,-22.03177,-417.18937
2.64800,-22.50806,-429.69950
2.70600,-23.00138,-442.61172
2.76400,-23.49416,-455.42005
2.82200,-23.98689,-468.09208
2.88200,-24.49702,-480.98188
2.94200,-25.00690,-493.67767
2.99000,-25.41508,-503.63947
2.99200,-25.43200,-504.05141
3.09200,-25.84885,-513.78600
3.15200,-25.66572,-501.24940
3.18400,-25.44635,-487.92377
3.21000,-25.21987,-474.43625
3.23400,-24.99500,-461.13797
3.25800,-24.76045,-448.06540
3.28200,-24.51800,-435.54861
3.30800,-24.24859,-422.59708
3.33600,-23.95173,-409.16838
3.36400,-23.64908,-396.25280
3.39400,-23.32054,-382.92602
3.42400,-22.98739,-370.09992
3.45600,-22.62847,-356.87443
3.48800,-22.26657,-344.15770
3.52200,-21.87937,-331.08640
3.55600,-21.49026,-318.52737
3.59200,-21.07634,-305.67549
3.63000,-20.63784,-292.71539
3.67000,-20.17393,-279.75153
3.71200,-19.68593,-266.76655
3.75600,-19.18005,-253.96857
3.80400,-18.67537,-241.40656
3.86000,-18.13194,-228.90277
3.92400,-17.54433,-216.13361
3.99200,-16.94237,-203.51497
4.06400,-16.31703,-191.00616
4.14000,-15.66377,-178.34414
4.21800,-14.99778,-165.69128
4.30000,-14.29854,-152.98883
4.38600,-13.56689,-140.27882
4.47600,-12.80117,-127.73350
4.57000,-12.00167,-115.22031
4.67000,-11.15206,-102.54961
4.77000,-10.30227,-90.53915
4.87000,-9.45206,-78.95666
4.97000,-8.60233,-67.78515
5.07000,-7.75207,-57.12437
5.17000,-6.90210,-46.81540
5.27000,-6.05177,-37.03214
5.37000,-5.20234,-27.75345
5.47000,-4.35238,-19.14240
5.57000,-3.50205,-11.53259
5.67000,-2.65250,-5.17320
5.77000,-1.80188,-1.16312
5.87000,-0.95203,0.00157
5.97000,-0.10146,0.02292
5.98200,0.00024,0.03609
5.98400,0.01734,0.03920
6.08400,0.43156,-0.02845
6.18400,-0.07695,-0.01849
6.28400,-1.06874,-0.05358
6.38400,-2.17108,-3.60934
6.48400,-3.32448,-13.83712
6.57400,-4.38472,-26.40051
6.65400,-5.33639,-39.11121
6.73200,-6.18212,-51.83059
6.81600,-6.98951,-64.43299
6.90400,-7.78244,-77.16441
6.99000,-8.53417,-89.69501
7.07600,-9.27413,-102.45189
7.15800,-9.97522,-114.98328
7.23800,-10.65718,-127.49821
7.31600,-11.32090,-140.19046
7.39200,-11.96729,-152.98749
7.46600,-12.59675,-165.77067
7.53600,-13.19142,-178.36116
7.60400,-13.76952,-190.93316
7.67000,-14.33077,-203.58242
7.73600,-14.89165,-216.47010
7.80000,-15.43610,-229.12687
7.86400,-15.97988,-241.99221
7.92600,-16.50704,-254.50535
7.98800,-17.03403,-267.16085
8.05000,-17.56101,-279.91120
8.11200,-18.08806,-292.65270
8.17400,-18.61504,-305.37942
8.23600,-19.14155,-318.21072
8.29800,-19.66865,-331.13070
8.35800,-20.17908,-343.78406
8.41600,-20.67216,-356.48014
8.47200,-21.14784,-369.12020
8.52800,-21.62407,-382.00438
8.58200,-22.08283,-394.71284
8.63400,-22.52510,-407.21815
8.68600,-22.96748,-419.79119
8.73800,-23.40909,-432.44872
8.79000,-23.85099,-445.25523
8.84200,-24.29313,-458.15554
8.89400,-24.73491,-471.06799
8.94600,-25.17670,-483.97280
8.97400,-25.41508,-491.00343
8.97600,-25.43200,-491.50549
9.03600,-25.79570,-504.12636
9.13600,-25.66662,-494.05608
9.16800,-25.44761,-481.08898
9.19400,-25.22136,-467.88983
9.21800,-24.99656,-454.90261
9.24200,-24.76212,-442.10389
9.26800,-24.49917,-428.83024
9.29400,-24.22958,-416.12752
9.32200,-23.93230,-402.92174
9.35000,-23.62935,-390.22882
9.38000,-23.30033,-377.13397
9.41000,-22.96730,-364.51101
9.44200,-22.60808,-351.45551
9.47600,-22.22328,-338.19515
9.51000,-21.83620,-325.31276
9.54600,-21.42330,-312.16644
9.58200,-21.00871,-299.54398
9.62000,-20.57022,-286.87131
9.66000,-20.10625,-274.05176
9.70200,-19.61879,-261.28933
9.74600,-19.11405,-248.69144
9.79600,-18.59412,-235.92591
9.85400,-18.03652,-223.28565
9.92000,-17.43623,-210.44487
9.99000,-16.81915,-197.76467
10.06400,-16.17940,-184.97305
10.14000,-15.52680,-172.43721
10.22000,-14.84388,-159.77709
10.30200,-14.14530,-147.27377
10.39000,-13.39715,-134.55907
10.48200,-12.61445,-121.94999
10.57800,-11.79796,-109.40517
10.67800,-10.94794,-97.04676
10.77800,-10.09803,-85.21823
10.87800,-9.24812,-73.87256
10.97800,-8.39779,-62.93259
11.07800,-7.54813,-52.41331
11.17800,-6.69828,-42.37886
11.27800,-5.84825,-32.84444
11.37800,-4.99846,-23.96459
11.47800,-4.14832,-15.72696
11.57800,-3.29811,-8.57948
11.67800,-2.44772,-3.09631
11.77800,-1.59811,-0.37169
11.87800,-0.74827,0.00707
11.96600,0.00024,0.03053
11.96800,0.01740,0.02566
12.06800,0.43120,-0.02815
12.16800,-0.07767,-0.02120
12.26800,-1.06945,0.02504
12.36800,-2.17203,-2.65837
12.46800,-3.32609,-12.21587
12.56000,-4.41061,-24.72555
12.64200,-5.38668,-37.49938
12.72200,-6.24740,-50.28331
12.80800,-7.06694,-62.81384
12.89600,-7.85532,-75.32145
12.98400,-8.62141,-87.97958
13.07000,-9.36035,-100.54363
13.15400,-10.07794,-113.16424
13.23600,-10.77610,-125.94396
13.31400,-11.44006,-138.55271
13.39000,-12.08645,-151.18327
13.46400,-12.71621,-163.85010
13.53600,-13.32827,-176.65515
13.60400,-13.90656,-189.15780
13.67200,-14.48395,-202.01704
13.73800,-15.04501,-214.84800
13.80200,-15.58868,-227.38967
13.86600,-16.13258,-240.12737
13.92800,-16.65993,-252.65459
13.99000,-17.18691,-265.31000
14.05200,-17.71402,-278.01212
14.11400,-18.24136,-290.72946
14.17600,-18.76757,-303.47224
14.23800,-19.29533,-316.31865
14.29800,-19.80462,-328.91326
14.35800,-20.31468,-341.65956
14.41600,-20.80800,-354.46420
14.47200,-21.28411,-367.13444
14.52800,-21.76027,-380.07136
